"time"	"choice"	"pair"	"task"	"rater"	"IDl"	"IDr"	"sex"	"ratingl"	"ratingr"	"heightl"	"heightr"	"weightl"	"weightr"	"agel"	"ager"	"heightsl"	"heightsr"	"weightsl"	"weightsr"	"agesl"	"agesr"
2.957	"Knaada85"	"Knaada85|Balond96"	"body.form"	"R00024"	"Knaada85"	"Balond96"	"M"	4.21	1.99	190.3	180.8	89	73.5	30	20	1.51922581718287	0.142356966545441	0.665701263213984	-0.719521383241129	0.572361219415504	-1.13335102387573
7.334	"Kovjan85"	"Kvatom96|Kovjan85"	"body.form"	"R00024"	"Kvatom96"	"Kovjan85"	"M"	4.33	4.51	171.4	173.6	71.5	92	19	32	-1.22001852776949	-0.901164688674511	-0.898259789235337	0.933808872205296	-1.30392224820486	0.913503668073752
5.877	"Peltom81"	"Dusrad95|Peltom81"	"body.form"	"R00024"	"Dusrad95"	"Peltom81"	"M"	3.02	5.61	187.9	186	75.8	98.8	21	35	1.17138526544289	0.896011495315403	-0.51397221634779	1.5415194525856	-0.96277979954661	1.42521734106112
2.249	"Beljak94"	"Kuzmat95|Beljak94"	"body.form"	"R00024"	"Kuzmat95"	"Beljak94"	"M"	5	3.54	175	190.5	85.1	86.7	20	22	-0.69825770015952	1.54821252982787	0.317161371525278	0.460152096320645	-1.13335102387573	-0.792208575217486
4.63	"Kovjan85"	"Kovjan85|Salpav84"	"body.form"	"R00024"	"Kovjan85"	"Salpav84"	"M"	4.51	3.23	173.6	187.2	92	88.3	32	32	-0.901164688674511	1.06993177118539	0.933808872205296	0.603142821116011	0.913503668073752	0.913503668073752
2.065	"Holvac92"	"Beljak94|Holvac92"	"body.form"	"R00024"	"Beljak94"	"Holvac92"	"M"	3.54	5.41	190.5	184.3	86.7	84.4	22	23	1.54821252982787	0.649624437832917	0.460152096320645	0.254602929427306	-0.792208575217486	-0.621637350888362
5.476	"Schvac86"	"Schvac86|Jankov90"	"body.form"	"R00024"	"Schvac86"	"Jankov90"	"M"	3.81	3.79	187.6	173	74.7	71.4	29	26	1.12790519647539	-0.988124826609506	-0.612278339644604	-0.907196709535047	0.40178999508638	-0.109923677900991
3.49	"Hnukar88"	"Zamdan92|Hnukar88"	"body.form"	"R00024"	"Zamdan92"	"Hnukar88"	"M"	3	3.34	175	178.4	68	70.6	23	28	-0.69825770015952	-0.205483585194543	-1.2110519997252	-0.978692071932731	-0.621637350888362	0.231218770757256
4.274	"Knaada85"	"Knaada85|Hnukar88"	"body.form"	"R00024"	"Knaada85"	"Hnukar88"	"M"	4.21	3.34	190.3	178.4	89	70.6	30	28	1.51922581718287	-0.205483585194543	0.665701263213984	-0.978692071932731	0.572361219415504	0.231218770757256
11.933	"Svajak84"	"Mibdav96|Svajak84"	"body.form"	"R00024"	"Mibdav96"	"Svajak84"	"M"	4.56	3.09	172	179.4	65.6	68.7	20	31	-1.1330583898345	-0.0605500219695497	-1.42553808691825	-1.14849355762723	-1.13335102387573	0.742932443744628
9.955	"Ledzde83"	"Kovjan85|Ledzde83"	"body.form"	"R00026"	"Kovjan85"	"Ledzde83"	"F"	4.51	6.49	173.6	186.5	92	112.4	32	33	-0.901164688674511	0.9684782769279	0.933808872205296	2.75694061334622	0.913503668073752	1.08407489240288
8.623	"Peltom81"	"Beljak94|Peltom81"	"body.form"	"R00026"	"Beljak94"	"Peltom81"	"F"	3.54	5.61	190.5	186	86.7	98.8	22	35	1.54821252982787	0.896011495315403	0.460152096320645	1.5415194525856	-0.792208575217486	1.42521734106112
5.5	"Kvatom96"	"Kvatom96|Dusrad95"	"body.form"	"R00026"	"Kvatom96"	"Dusrad95"	"F"	4.33	3.02	171.4	187.9	71.5	75.8	19	21	-1.22001852776949	1.17138526544289	-0.898259789235337	-0.51397221634779	-1.30392224820486	-0.96277979954661
4.744	"Smimar96"	"Smimar96|Bormir82"	"body.form"	"R00026"	"Smimar96"	"Bormir82"	"F"	4.46	3.25	180.5	192.2	77.2	85.7	21	33	0.0988768975779417	1.79459958731036	-0.388855332151844	0.370782893323541	-0.96277979954661	1.08407489240288
3.332	"Knaada85"	"Beljak94|Knaada85"	"body.form"	"R00026"	"Beljak94"	"Knaada85"	"F"	3.54	4.21	190.5	190.3	86.7	89	22	30	1.54821252982787	1.51922581718287	0.460152096320645	0.665701263213984	-0.792208575217486	0.572361219415504
3.064	"Miljir90"	"Balond96|Miljir90"	"body.form"	"R00026"	"Balond96"	"Miljir90"	"F"	1.99	5.41	180.8	177.8	73.5	79.2	20	27	0.142356966545441	-0.292443723129538	-0.719521383241129	-0.210116926157636	-1.13335102387573	0.0606475464281327
2.988	"Dvodav92"	"Balond96|Dvodav92"	"body.form"	"R00026"	"Balond96"	"Dvodav92"	"F"	1.99	5.08	180.8	167.7	73.5	65.5	20	24	0.142356966545441	-1.75627271170197	-0.719521383241129	-1.43447500721796	-1.13335102387573	-0.451066126559239
3.93	"Ondpet80"	"Schvac86|Ondpet80"	"body.form"	"R00026"	"Schvac86"	"Ondpet80"	"F"	3.81	5.03	187.6	183.4	74.7	98.7	29	36	1.12790519647539	0.519184230930422	-0.612278339644604	1.53258253228589	0.40178999508638	1.59578856539025
8.833	"Hnukar88"	"Zamdan92|Hnukar88"	"body.form"	"R00026"	"Zamdan92"	"Hnukar88"	"F"	3	3.34	175	178.4	68	70.6	23	28	-0.69825770015952	-0.205483585194543	-1.2110519997252	-0.978692071932731	-0.621637350888362	0.231218770757256
2.782	"Trlmar94"	"Balond96|Trlmar94"	"body.form"	"R00026"	"Balond96"	"Trlmar94"	"F"	1.99	4.99	180.8	183.5	73.5	85.2	20	22	0.142356966545441	0.533677587252921	-0.719521383241129	0.326098291824989	-1.13335102387573	-0.792208575217486
4.058	"Ledzde83"	"Ledzde83|Kuzmat95"	"body.form"	"R00026"	"Ledzde83"	"Kuzmat95"	"F"	6.49	5	186.5	175	112.4	85.1	33	20	0.9684782769279	-0.69825770015952	2.75694061334622	0.317161371525278	1.08407489240288	-1.13335102387573
2.786	"Balatt81"	"Svajak84|Balatt81"	"body.form"	"R00026"	"Svajak84"	"Balatt81"	"F"	3.09	5.59	179.4	172.4	68.7	81.1	31	34	-0.0605500219695497	-1.0750849645445	-1.14849355762723	-0.0403154404631386	0.742932443744628	1.254646116732
3.499	"jakkre91"	"jakkre91|Holzde94"	"body.form"	"R00026"	"jakkre91"	"Holzde94"	"F"	3.59	2.35	187.7	193.4	108.6	96.2	25	22	1.14239855279789	1.96851986318035	2.41733764195722	1.30915952479313	-0.280494902230115	-0.792208575217486
3.004	"Tanske91"	"Tanske91|Schvac86"	"body.form"	"R00026"	"Tanske91"	"Schvac86"	"F"	4.65	3.81	178.2	187.6	84.7	74.7	24	29	-0.234470297839544	1.12790519647539	0.281413690326437	-0.612278339644604	-0.451066126559239	0.40178999508638
3.805	"Cesdan78"	"Cesdan78|Kuzmat95"	"body.form"	"R00026"	"Cesdan78"	"Kuzmat95"	"F"	5.97	5	183.3	175	94.8	85.1	38	20	0.504690874607924	-0.69825770015952	1.18404264059719	0.317161371525278	1.93693101404849	-1.13335102387573
2.796	"Ondpet80"	"Balond96|Ondpet80"	"body.form"	"R00026"	"Balond96"	"Ondpet80"	"F"	1.99	5.03	180.8	183.4	73.5	98.7	20	36	0.142356966545441	0.519184230930422	-0.719521383241129	1.53258253228589	-1.13335102387573	1.59578856539025
2.663	"Tanske91"	"Beljak94|Tanske91"	"body.form"	"R00026"	"Beljak94"	"Tanske91"	"F"	3.54	4.65	190.5	178.2	86.7	84.7	22	24	1.54821252982787	-0.234470297839544	0.460152096320645	0.281413690326437	-0.792208575217486	-0.451066126559239
4.087	"Ledzde83"	"Ledzde83|janbal79"	"body.form"	"R00026"	"Ledzde83"	"janbal79"	"F"	6.49	4.65	186.5	187.7	112.4	93.1	33	37	0.9684782769279	1.14239855279789	2.75694061334622	1.03211499550211	1.08407489240288	1.76635978971937
2.184	"Kvatom96"	"Balond96|Kvatom96"	"body.form"	"R00026"	"Balond96"	"Kvatom96"	"F"	1.99	4.33	180.8	171.4	73.5	71.5	20	19	0.142356966545441	-1.22001852776949	-0.719521383241129	-0.898259789235337	-1.13335102387573	-1.30392224820486
2.999	"Ledzde83"	"Maljan91|Ledzde83"	"body.form"	"R00026"	"Maljan91"	"Ledzde83"	"F"	6.06	6.49	179	186.5	83	112.4	24	33	-0.118523447259548	0.9684782769279	0.12948604523136	2.75694061334622	-0.451066126559239	1.08407489240288
2.909	"Cesdan78"	"Hormic89|Cesdan78"	"body.form"	"R00026"	"Hormic89"	"Cesdan78"	"F"	3.45	5.97	172	183.3	73.6	94.8	27	38	-1.1330583898345	0.504690874607924	-0.710584462941419	1.18404264059719	0.0606475464281327	1.93693101404849
3.091	"Fajjan99"	"Knaada85|Fajjan99"	"body.form"	"R00026"	"Knaada85"	"Fajjan99"	"F"	4.21	2.86	190.3	186.2	89	78.5	30	18	1.51922581718287	0.9249982079604	0.665701263213984	-0.272675368255609	0.572361219415504	-1.47449347253398
3.822	"Holzde94"	"Holzde94|Balond96"	"body.form"	"R00026"	"Holzde94"	"Balond96"	"F"	2.35	1.99	193.4	180.8	96.2	73.5	22	20	1.96851986318035	0.142356966545441	1.30915952479313	-0.719521383241129	-0.792208575217486	-1.13335102387573
2.558	"Maljan91"	"Lehpet88|Maljan91"	"body.form"	"R00026"	"Lehpet88"	"Maljan91"	"F"	4.45	6.06	176.4	179	74.8	83	29	24	-0.495350711644529	-0.118523447259548	-0.603341419344894	0.12948604523136	0.40178999508638	-0.451066126559239
3.506	"janbal79"	"Dvodav92|janbal79"	"body.form"	"R00026"	"Dvodav92"	"janbal79"	"F"	5.08	4.65	167.7	187.7	65.5	93.1	24	37	-1.75627271170197	1.14239855279789	-1.43447500721796	1.03211499550211	-0.451066126559239	1.76635978971937
4.458	"Slojan94"	"Trlmar94|Slojan94"	"body.form"	"R00026"	"Trlmar94"	"Slojan94"	"F"	4.99	4.9	183.5	178	85.2	76.9	22	22	0.533677587252921	-0.263457010484541	0.326098291824989	-0.415666093050975	-0.792208575217486	-0.792208575217486
3.829	"Trlmar94"	"Trlmar94|Kovjan85"	"body.form"	"R00026"	"Trlmar94"	"Kovjan85"	"F"	4.99	4.51	183.5	173.6	85.2	92	22	32	0.533677587252921	-0.901164688674511	0.326098291824989	0.933808872205296	-0.792208575217486	0.913503668073752
3.497	"Jankov90"	"Jankov90|Svoale85"	"body.form"	"R00026"	"Jankov90"	"Svoale85"	"F"	3.79	2.91	173	170.9	71.4	67.9	26	31	-0.988124826609506	-1.29248530938199	-0.907196709535047	-1.21998892002491	-0.109923677900991	0.742932443744628
3.548	"Hudjan95"	"Hudjan95|Fajjan99"	"body.form"	"R00026"	"Hudjan95"	"Fajjan99"	"F"	5.5	2.86	175.7	186.2	76.2	78.5	21	18	-0.596804205902026	0.9249982079604	-0.478224535148948	-0.272675368255609	-0.96277979954661	-1.47449347253398
3.533	"Maljan91"	"Fajjan99|Maljan91"	"body.form"	"R00026"	"Fajjan99"	"Maljan91"	"F"	2.86	6.06	186.2	179	78.5	83	18	24	0.9249982079604	-0.118523447259548	-0.272675368255609	0.12948604523136	-1.47449347253398	-0.451066126559239
4.717	"janbal79"	"janbal79|Durmic90"	"body.form"	"R00029"	"janbal79"	"Durmic90"	"F"	4.65	3.15	187.7	173.7	93.1	71.9	37	25	1.14239855279789	-0.886671332352012	1.03211499550211	-0.862512108036495	1.76635978971937	-0.280494902230115
4.92	"Maljan91"	"Vavit89|Maljan91"	"body.form"	"R00029"	"Vavit89"	"Maljan91"	"F"	5.49	6.06	177.5	179	78.9	83	26	24	-0.335923792097037	-0.118523447259548	-0.236927687056767	0.12948604523136	-0.109923677900991	-0.451066126559239
4.449	"Cesdan78"	"Ondpet80|Cesdan78"	"body.form"	"R00029"	"Ondpet80"	"Cesdan78"	"F"	5.03	5.97	183.4	183.3	98.7	94.8	36	38	0.519184230930422	0.504690874607924	1.53258253228589	1.18404264059719	1.59578856539025	1.93693101404849
6.359	"jakkre91"	"jakkre91|Jurmar88"	"body.form"	"R00029"	"jakkre91"	"Jurmar88"	"F"	3.59	2.75	187.7	164.7	108.6	60.6	25	28	1.14239855279789	-2.19107340137695	2.41733764195722	-1.87238410190377	-0.280494902230115	0.231218770757256
4.583	"Peltom81"	"Peltom81|Balond96"	"body.form"	"R00029"	"Peltom81"	"Balond96"	"F"	5.61	1.99	186	180.8	98.8	73.5	35	20	0.896011495315403	0.142356966545441	1.5415194525856	-0.719521383241129	1.42521734106112	-1.13335102387573
5.472	"Zamdan92"	"Zamdan92|Jankov90"	"body.form"	"R00029"	"Zamdan92"	"Jankov90"	"F"	3	3.79	175	173	68	71.4	23	26	-0.69825770015952	-0.988124826609506	-1.2110519997252	-0.907196709535047	-0.621637350888362	-0.109923677900991
3.477	"Hudjan95"	"Hudjan95|Beljak94"	"body.form"	"R00029"	"Hudjan95"	"Beljak94"	"F"	5.5	3.54	175.7	190.5	76.2	86.7	21	22	-0.596804205902026	1.54821252982787	-0.478224535148948	0.460152096320645	-0.96277979954661	-0.792208575217486
1.867	"Ledzde83"	"Vavit89|Ledzde83"	"body.form"	"R00029"	"Vavit89"	"Ledzde83"	"F"	5.49	6.49	177.5	186.5	78.9	112.4	26	33	-0.335923792097037	0.9684782769279	-0.236927687056767	2.75694061334622	-0.109923677900991	1.08407489240288
2.23	"Ledzde83"	"Ledzde83|Balatt81"	"body.form"	"R00029"	"Ledzde83"	"Balatt81"	"F"	6.49	5.59	186.5	172.4	112.4	81.1	33	34	0.9684782769279	-1.0750849645445	2.75694061334622	-0.0403154404631386	1.08407489240288	1.254646116732
2.636	"Vavit89"	"Bormir82|Vavit89"	"body.form"	"R00029"	"Bormir82"	"Vavit89"	"F"	3.25	5.49	192.2	177.5	85.7	78.9	33	26	1.79459958731036	-0.335923792097037	0.370782893323541	-0.236927687056767	1.08407489240288	-0.109923677900991
2.311	"Staond81"	"Bormir82|Staond81"	"body.form"	"R00029"	"Bormir82"	"Staond81"	"F"	3.25	4.13	192.2	175.3	85.7	84	33	35	1.79459958731036	-0.65477763119202	0.370782893323541	0.218855248228464	1.08407489240288	1.42521734106112
2.582	"Schvac86"	"Schvac86|Hnukar88"	"body.form"	"R00029"	"Schvac86"	"Hnukar88"	"F"	3.81	3.34	187.6	178.4	74.7	70.6	29	28	1.12790519647539	-0.205483585194543	-0.612278339644604	-0.978692071932731	0.40178999508638	0.231218770757256
3.383	"Mibdav96"	"Mibdav96|Bormir82"	"body.form"	"R00029"	"Mibdav96"	"Bormir82"	"F"	4.56	3.25	172	192.2	65.6	85.7	20	33	-1.1330583898345	1.79459958731036	-1.42553808691825	0.370782893323541	-1.13335102387573	1.08407489240288
4.395	"Trlmar94"	"Dvodav92|Trlmar94"	"body.form"	"R00029"	"Dvodav92"	"Trlmar94"	"F"	5.08	4.99	167.7	183.5	65.5	85.2	24	22	-1.75627271170197	0.533677587252921	-1.43447500721796	0.326098291824989	-0.451066126559239	-0.792208575217486
3.518	"Schvac86"	"Beljak94|Schvac86"	"body.form"	"R00029"	"Beljak94"	"Schvac86"	"F"	3.54	3.81	190.5	187.6	86.7	74.7	22	29	1.54821252982787	1.12790519647539	0.460152096320645	-0.612278339644604	-0.792208575217486	0.40178999508638
3.24	"Kuzmat95"	"Kuzmat95|Durmic90"	"body.form"	"R00029"	"Kuzmat95"	"Durmic90"	"F"	5	3.15	175	173.7	85.1	71.9	20	25	-0.69825770015952	-0.886671332352012	0.317161371525278	-0.862512108036495	-1.13335102387573	-0.280494902230115
4.395	"Vavit89"	"Vavit89|Jankov90"	"body.form"	"R00029"	"Vavit89"	"Jankov90"	"F"	5.49	3.79	177.5	173	78.9	71.4	26	26	-0.335923792097037	-0.988124826609506	-0.236927687056767	-0.907196709535047	-0.109923677900991	-0.109923677900991
3.535	"Kuzmat95"	"Kuzmat95|Balond96"	"body.form"	"R00029"	"Kuzmat95"	"Balond96"	"F"	5	1.99	175	180.8	85.1	73.5	20	20	-0.69825770015952	0.142356966545441	0.317161371525278	-0.719521383241129	-1.13335102387573	-1.13335102387573
2.908	"Miljir90"	"Knaada85|Miljir90"	"body.form"	"R00029"	"Knaada85"	"Miljir90"	"F"	4.21	5.41	190.3	177.8	89	79.2	30	27	1.51922581718287	-0.292443723129538	0.665701263213984	-0.210116926157636	0.572361219415504	0.0606475464281327
2.453	"Lejtom94"	"Lejtom94|Svajak84"	"body.form"	"R00029"	"Lejtom94"	"Svajak84"	"F"	4.4	3.09	183	179.4	86.6	68.7	21	31	0.461210805640424	-0.0605500219695497	0.451215176020934	-1.14849355762723	-0.96277979954661	0.742932443744628
2.184	"Smimar96"	"Svoale85|Smimar96"	"body.form"	"R00029"	"Svoale85"	"Smimar96"	"F"	2.91	4.46	170.9	180.5	67.9	77.2	31	21	-1.29248530938199	0.0988768975779417	-1.21998892002491	-0.388855332151844	0.742932443744628	-0.96277979954661
2.264	"Peltom81"	"Jurmar88|Peltom81"	"body.form"	"R00029"	"Jurmar88"	"Peltom81"	"F"	2.75	5.61	164.7	186	60.6	98.8	28	35	-2.19107340137695	0.896011495315403	-1.87238410190377	1.5415194525856	0.231218770757256	1.42521734106112
2.278	"Lejtom94"	"Lejtom94|Hravoj97"	"body.form"	"R00029"	"Lejtom94"	"Hravoj97"	"F"	4.4	4.97	183	177.1	86.6	80.1	21	19	0.461210805640424	-0.393897217387035	0.451215176020934	-0.129684643460243	-0.96277979954661	-1.30392224820486
2.779	"Elijak78"	"Elijak78|Fajjan99"	"body.form"	"R00029"	"Elijak78"	"Fajjan99"	"F"	5.29	2.86	175.7	186.2	78.6	78.5	37	18	-0.596804205902026	0.9249982079604	-0.263738447955899	-0.272675368255609	1.76635978971937	-1.47449347253398
3.475	"Vavit89"	"Vavit89|Hormic89"	"body.form"	"R00029"	"Vavit89"	"Hormic89"	"F"	5.49	3.45	177.5	172	78.9	73.6	26	27	-0.335923792097037	-1.1330583898345	-0.236927687056767	-0.710584462941419	-0.109923677900991	0.0606475464281327
4.039	"Podjak84"	"janbal79|Podjak84"	"body.form"	"R00029"	"janbal79"	"Podjak84"	"F"	4.65	4.5	187.7	185.9	93.1	79.4	37	31	1.14239855279789	0.881518138992905	1.03211499550211	-0.192243085558215	1.76635978971937	0.742932443744628
4.939	"stanik99"	"Kuzmat95|stanik99"	"body.form"	"R00029"	"Kuzmat95"	"stanik99"	"F"	5	4.9	175	174	85.1	92.3	20	18	-0.69825770015952	-0.843191263384513	0.317161371525278	0.960619633104427	-1.13335102387573	-1.47449347253398
3.313	"Maljan91"	"Maljan91|Mibdav96"	"body.form"	"R00029"	"Maljan91"	"Mibdav96"	"F"	6.06	4.56	179	172	83	65.6	24	20	-0.118523447259548	-1.1330583898345	0.12948604523136	-1.42553808691825	-0.451066126559239	-1.13335102387573
2.569	"Vavit89"	"Hormic89|Vavit89"	"body.form"	"R00029"	"Hormic89"	"Vavit89"	"F"	3.45	5.49	172	177.5	73.6	78.9	27	26	-1.1330583898345	-0.335923792097037	-0.710584462941419	-0.236927687056767	0.0606475464281327	-0.109923677900991
1.857	"Lehpet88"	"Svoale85|Lehpet88"	"body.form"	"R00029"	"Svoale85"	"Lehpet88"	"F"	2.91	4.45	170.9	176.4	67.9	74.8	31	29	-1.29248530938199	-0.495350711644529	-1.21998892002491	-0.603341419344894	0.742932443744628	0.40178999508638
14.657	"Vavit89"	"Vavit89|Trlmar94"	"body.form"	"R00030"	"Vavit89"	"Trlmar94"	"F"	5.49	4.99	177.5	183.5	78.9	85.2	26	22	-0.335923792097037	0.533677587252921	-0.236927687056767	0.326098291824989	-0.109923677900991	-0.792208575217486
2.759	"Schvac86"	"Schvac86|Svajak84"	"body.form"	"R00030"	"Schvac86"	"Svajak84"	"F"	3.81	3.09	187.6	179.4	74.7	68.7	29	31	1.12790519647539	-0.0605500219695497	-0.612278339644604	-1.14849355762723	0.40178999508638	0.742932443744628
3.711	"janbal79"	"janbal79|Lejtom94"	"body.form"	"R00030"	"janbal79"	"Lejtom94"	"F"	4.65	4.4	187.7	183	93.1	86.6	37	21	1.14239855279789	0.461210805640424	1.03211499550211	0.451215176020934	1.76635978971937	-0.96277979954661
6.017	"Beljak94"	"Hnukar88|Beljak94"	"body.form"	"R00030"	"Hnukar88"	"Beljak94"	"F"	3.34	3.54	178.4	190.5	70.6	86.7	28	22	-0.205483585194543	1.54821252982787	-0.978692071932731	0.460152096320645	0.231218770757256	-0.792208575217486
5.045	"Staond81"	"Staond81|Dvodav92"	"body.form"	"R00030"	"Staond81"	"Dvodav92"	"F"	4.13	5.08	175.3	167.7	84	65.5	35	24	-0.65477763119202	-1.75627271170197	0.218855248228464	-1.43447500721796	1.42521734106112	-0.451066126559239
22.344	"Mibdav96"	"Mibdav96|Schvac86"	"body.form"	"R00030"	"Mibdav96"	"Schvac86"	"F"	4.56	3.81	172	187.6	65.6	74.7	20	29	-1.1330583898345	1.12790519647539	-1.42553808691825	-0.612278339644604	-1.13335102387573	0.40178999508638
7.866	"Salpav84"	"Zamdan92|Salpav84"	"body.form"	"R00030"	"Zamdan92"	"Salpav84"	"F"	3	3.23	175	187.2	68	88.3	23	32	-0.69825770015952	1.06993177118539	-1.2110519997252	0.603142821116011	-0.621637350888362	0.913503668073752
2.679	"Balatt81"	"Salpav84|Balatt81"	"body.form"	"R00030"	"Salpav84"	"Balatt81"	"F"	3.23	5.59	187.2	172.4	88.3	81.1	32	34	1.06993177118539	-1.0750849645445	0.603142821116011	-0.0403154404631386	0.913503668073752	1.254646116732
3.105	"Dvodav92"	"Dvodav92|Beljak94"	"body.form"	"R00030"	"Dvodav92"	"Beljak94"	"F"	5.08	3.54	167.7	190.5	65.5	86.7	24	22	-1.75627271170197	1.54821252982787	-1.43447500721796	0.460152096320645	-0.451066126559239	-0.792208575217486
5.967	"Maljan91"	"Maljan91|janbal79"	"body.form"	"R00030"	"Maljan91"	"janbal79"	"F"	6.06	4.65	179	187.7	83	93.1	24	37	-0.118523447259548	1.14239855279789	0.12948604523136	1.03211499550211	-0.451066126559239	1.76635978971937
2.857	"Maljan91"	"Maljan91|Hormic89"	"body.form"	"R00030"	"Maljan91"	"Hormic89"	"F"	6.06	3.45	179	172	83	73.6	24	27	-0.118523447259548	-1.1330583898345	0.12948604523136	-0.710584462941419	-0.451066126559239	0.0606475464281327
2.295	"Vavit89"	"Vavit89|Kovjan85"	"body.form"	"R00030"	"Vavit89"	"Kovjan85"	"F"	5.49	4.51	177.5	173.6	78.9	92	26	32	-0.335923792097037	-0.901164688674511	-0.236927687056767	0.933808872205296	-0.109923677900991	0.913503668073752
3.407	"Ondpet80"	"Staond81|Ondpet80"	"body.form"	"R00030"	"Staond81"	"Ondpet80"	"F"	4.13	5.03	175.3	183.4	84	98.7	35	36	-0.65477763119202	0.519184230930422	0.218855248228464	1.53258253228589	1.42521734106112	1.59578856539025
6.209	"Kvatom96"	"jakkre91|Kvatom96"	"body.form"	"R00030"	"jakkre91"	"Kvatom96"	"F"	3.59	4.33	187.7	171.4	108.6	71.5	25	19	1.14239855279789	-1.22001852776949	2.41733764195722	-0.898259789235337	-0.280494902230115	-1.30392224820486
8.83	"Elijak78"	"Elijak78|Jurmar88"	"body.form"	"R00030"	"Elijak78"	"Jurmar88"	"F"	5.29	2.75	175.7	164.7	78.6	60.6	37	28	-0.596804205902026	-2.19107340137695	-0.263738447955899	-1.87238410190377	1.76635978971937	0.231218770757256
1.884	"Smimar96"	"Fajjan99|Smimar96"	"body.form"	"R00030"	"Fajjan99"	"Smimar96"	"F"	2.86	4.46	186.2	180.5	78.5	77.2	18	21	0.9249982079604	0.0988768975779417	-0.272675368255609	-0.388855332151844	-1.47449347253398	-0.96277979954661
2.505	"Elijak78"	"Elijak78|Staond81"	"body.form"	"R00030"	"Elijak78"	"Staond81"	"F"	5.29	4.13	175.7	175.3	78.6	84	37	35	-0.596804205902026	-0.65477763119202	-0.263738447955899	0.218855248228464	1.76635978971937	1.42521734106112
3.956	"Hudjan95"	"Hudjan95|Kvatom96"	"body.form"	"R00030"	"Hudjan95"	"Kvatom96"	"F"	5.5	4.33	175.7	171.4	76.2	71.5	21	19	-0.596804205902026	-1.22001852776949	-0.478224535148948	-0.898259789235337	-0.96277979954661	-1.30392224820486
2.911	"Maljan91"	"Maljan91|Kuzmat95"	"body.form"	"R00030"	"Maljan91"	"Kuzmat95"	"F"	6.06	5	179	175	83	85.1	24	20	-0.118523447259548	-0.69825770015952	0.12948604523136	0.317161371525278	-0.451066126559239	-1.13335102387573
2.191	"Ondpet80"	"Ondpet80|Svoale85"	"body.form"	"R00030"	"Ondpet80"	"Svoale85"	"F"	5.03	2.91	183.4	170.9	98.7	67.9	36	31	0.519184230930422	-1.29248530938199	1.53258253228589	-1.21998892002491	1.59578856539025	0.742932443744628
2.779	"janbal79"	"janbal79|Trlmar94"	"body.form"	"R00030"	"janbal79"	"Trlmar94"	"F"	4.65	4.99	187.7	183.5	93.1	85.2	37	22	1.14239855279789	0.533677587252921	1.03211499550211	0.326098291824989	1.76635978971937	-0.792208575217486
1.915	"Cesdan78"	"Cesdan78|Schvac86"	"body.form"	"R00030"	"Cesdan78"	"Schvac86"	"F"	5.97	3.81	183.3	187.6	94.8	74.7	38	29	0.504690874607924	1.12790519647539	1.18404264059719	-0.612278339644604	1.93693101404849	0.40178999508638
2.077	"Maljan91"	"Hnukar88|Maljan91"	"body.form"	"R00030"	"Hnukar88"	"Maljan91"	"F"	3.34	6.06	178.4	179	70.6	83	28	24	-0.205483585194543	-0.118523447259548	-0.978692071932731	0.12948604523136	0.231218770757256	-0.451066126559239
3.889	"Lejtom94"	"Lejtom94|Hravoj97"	"body.form"	"R00030"	"Lejtom94"	"Hravoj97"	"F"	4.4	4.97	183	177.1	86.6	80.1	21	19	0.461210805640424	-0.393897217387035	0.451215176020934	-0.129684643460243	-0.96277979954661	-1.30392224820486
2.454	"Kuzmat95"	"Schvac86|Kuzmat95"	"body.form"	"R00030"	"Schvac86"	"Kuzmat95"	"F"	3.81	5	187.6	175	74.7	85.1	29	20	1.12790519647539	-0.69825770015952	-0.612278339644604	0.317161371525278	0.40178999508638	-1.13335102387573
1.85	"Ledzde83"	"Cesdan78|Ledzde83"	"body.form"	"R00030"	"Cesdan78"	"Ledzde83"	"F"	5.97	6.49	183.3	186.5	94.8	112.4	38	33	0.504690874607924	0.9684782769279	1.18404264059719	2.75694061334622	1.93693101404849	1.08407489240288
3.062	"Slojan94"	"Hudjan95|Slojan94"	"body.form"	"R00030"	"Hudjan95"	"Slojan94"	"F"	5.5	4.9	175.7	178	76.2	76.9	21	22	-0.596804205902026	-0.263457010484541	-0.478224535148948	-0.415666093050975	-0.96277979954661	-0.792208575217486
2.463	"janbal79"	"Smimar96|janbal79"	"body.form"	"R00030"	"Smimar96"	"janbal79"	"F"	4.46	4.65	180.5	187.7	77.2	93.1	21	37	0.0988768975779417	1.14239855279789	-0.388855332151844	1.03211499550211	-0.96277979954661	1.76635978971937
1.991	"janbal79"	"Hravoj97|janbal79"	"body.form"	"R00030"	"Hravoj97"	"janbal79"	"F"	4.97	4.65	177.1	187.7	80.1	93.1	19	37	-0.393897217387035	1.14239855279789	-0.129684643460243	1.03211499550211	-1.30392224820486	1.76635978971937
1.664	"Ondpet80"	"Ondpet80|Podjak84"	"body.form"	"R00030"	"Ondpet80"	"Podjak84"	"F"	5.03	4.5	183.4	185.9	98.7	79.4	36	31	0.519184230930422	0.881518138992905	1.53258253228589	-0.192243085558215	1.59578856539025	0.742932443744628
3.379	"Lehpet88"	"Lehpet88|Holzde94"	"body.form"	"R00032"	"Lehpet88"	"Holzde94"	"F"	4.45	2.35	176.4	193.4	74.8	96.2	29	22	-0.495350711644529	1.96851986318035	-0.603341419344894	1.30915952479313	0.40178999508638	-0.792208575217486
