"time"	"choice"	"pair"	"task"	"rater"	"IDl"	"IDr"	"sex"	"ratingl"	"ratingr"	"heightl"	"heightr"	"weightl"	"weightr"	"agel"	"ager"	"heightsl"	"heightsr"	"weightsl"	"weightsr"	"agesl"	"agesr"
2.685	"Hudjan95"	"Hudjan95|Lehpet88"	"body.form"	"R00001"	"Hudjan95"	"Lehpet88"	"F"	5.5	4.45	175.7	176.4	76.2	74.8	21	29	-0.596804205902026	-0.495350711644529	-0.478224535148948	-0.603341419344894	-0.96277979954661	0.40178999508638
3.722	"Staond81"	"Elijak78|Staond81"	"body.form"	"R00001"	"Elijak78"	"Staond81"	"F"	5.29	4.13	175.7	175.3	78.6	84	37	35	-0.596804205902026	-0.65477763119202	-0.263738447955899	0.218855248228464	1.76635978971937	1.42521734106112
1.057	"Hudjan95"	"Beljak94|Hudjan95"	"body.form"	"R00001"	"Beljak94"	"Hudjan95"	"F"	3.54	5.5	190.5	175.7	86.7	76.2	22	21	1.54821252982787	-0.596804205902026	0.460152096320645	-0.478224535148948	-0.792208575217486	-0.96277979954661
0.916	"Mibdav96"	"Mibdav96|Durmic90"	"body.form"	"R00001"	"Mibdav96"	"Durmic90"	"F"	4.56	3.15	172	173.7	65.6	71.9	20	25	-1.1330583898345	-0.886671332352012	-1.42553808691825	-0.862512108036495	-1.13335102387573	-0.280494902230115
1.155	"Elijak78"	"Hnukar88|Elijak78"	"body.form"	"R00001"	"Hnukar88"	"Elijak78"	"F"	3.34	5.29	178.4	175.7	70.6	78.6	28	37	-0.205483585194543	-0.596804205902026	-0.978692071932731	-0.263738447955899	0.231218770757256	1.76635978971937
4.921	"Lejtom94"	"Holzde94|Lejtom94"	"body.form"	"R00001"	"Holzde94"	"Lejtom94"	"F"	2.35	4.4	193.4	183	96.2	86.6	22	21	1.96851986318035	0.461210805640424	1.30915952479313	0.451215176020934	-0.792208575217486	-0.96277979954661
1.278	"Hravoj97"	"Hravoj97|Staond81"	"body.form"	"R00001"	"Hravoj97"	"Staond81"	"F"	4.97	4.13	177.1	175.3	80.1	84	19	35	-0.393897217387035	-0.65477763119202	-0.129684643460243	0.218855248228464	-1.30392224820486	1.42521734106112
1.985	"Vavit89"	"Vavit89|Kovjan85"	"body.form"	"R00001"	"Vavit89"	"Kovjan85"	"F"	5.49	4.51	177.5	173.6	78.9	92	26	32	-0.335923792097037	-0.901164688674511	-0.236927687056767	0.933808872205296	-0.109923677900991	0.913503668073752
2.267	"Jankov90"	"Trlmar94|Jankov90"	"body.form"	"R00003"	"Trlmar94"	"Jankov90"	"F"	4.99	3.79	183.5	173	85.2	71.4	22	26	0.533677587252921	-0.988124826609506	0.326098291824989	-0.907196709535047	-0.792208575217486	-0.109923677900991
3.776	"Beljak94"	"Slojan94|Beljak94"	"body.form"	"R00003"	"Slojan94"	"Beljak94"	"F"	4.9	3.54	178	190.5	76.9	86.7	22	22	-0.263457010484541	1.54821252982787	-0.415666093050975	0.460152096320645	-0.792208575217486	-0.792208575217486
7.055	"Staond81"	"Fajjan99|Staond81"	"body.form"	"R00003"	"Fajjan99"	"Staond81"	"F"	2.86	4.13	186.2	175.3	78.5	84	18	35	0.9249982079604	-0.65477763119202	-0.272675368255609	0.218855248228464	-1.47449347253398	1.42521734106112
2.767	"Lejtom94"	"janbal79|Lejtom94"	"body.form"	"R00003"	"janbal79"	"Lejtom94"	"F"	4.65	4.4	187.7	183	93.1	86.6	37	21	1.14239855279789	0.461210805640424	1.03211499550211	0.451215176020934	1.76635978971937	-0.96277979954661
3.201	"janbal79"	"Salpav84|janbal79"	"body.form"	"R00003"	"Salpav84"	"janbal79"	"F"	3.23	4.65	187.2	187.7	88.3	93.1	32	37	1.06993177118539	1.14239855279789	0.603142821116011	1.03211499550211	0.913503668073752	1.76635978971937
4.756	"Kuzmat95"	"Hravoj97|Kuzmat95"	"body.form"	"R00003"	"Hravoj97"	"Kuzmat95"	"F"	4.97	5	177.1	175	80.1	85.1	19	20	-0.393897217387035	-0.69825770015952	-0.129684643460243	0.317161371525278	-1.30392224820486	-1.13335102387573
5.222	"Hnukar88"	"Hnukar88|Balatt81"	"body.form"	"R00003"	"Hnukar88"	"Balatt81"	"F"	3.34	5.59	178.4	172.4	70.6	81.1	28	34	-0.205483585194543	-1.0750849645445	-0.978692071932731	-0.0403154404631386	0.231218770757256	1.254646116732
2.798	"Smimar96"	"Bormir82|Smimar96"	"body.form"	"R00003"	"Bormir82"	"Smimar96"	"F"	3.25	4.46	192.2	180.5	85.7	77.2	33	21	1.79459958731036	0.0988768975779417	0.370782893323541	-0.388855332151844	1.08407489240288	-0.96277979954661
3.708	"Zamdan92"	"Zamdan92|Schvac86"	"body.form"	"R00003"	"Zamdan92"	"Schvac86"	"F"	3	3.81	175	187.6	68	74.7	23	29	-0.69825770015952	1.12790519647539	-1.2110519997252	-0.612278339644604	-0.621637350888362	0.40178999508638
2.708	"Beljak94"	"Beljak94|Peltom81"	"body.form"	"R00003"	"Beljak94"	"Peltom81"	"F"	3.54	5.61	190.5	186	86.7	98.8	22	35	1.54821252982787	0.896011495315403	0.460152096320645	1.5415194525856	-0.792208575217486	1.42521734106112
4.165	"Dvodav92"	"Lejtom94|Dvodav92"	"body.form"	"R00003"	"Lejtom94"	"Dvodav92"	"F"	4.4	5.08	183	167.7	86.6	65.5	21	24	0.461210805640424	-1.75627271170197	0.451215176020934	-1.43447500721796	-0.96277979954661	-0.451066126559239
2.234	"Slojan94"	"Slojan94|Ledzde83"	"body.form"	"R00003"	"Slojan94"	"Ledzde83"	"F"	4.9	6.49	178	186.5	76.9	112.4	22	33	-0.263457010484541	0.9684782769279	-0.415666093050975	2.75694061334622	-0.792208575217486	1.08407489240288
3.748	"Dvodav92"	"Dvodav92|Hravoj97"	"body.form"	"R00003"	"Dvodav92"	"Hravoj97"	"F"	5.08	4.97	167.7	177.1	65.5	80.1	24	19	-1.75627271170197	-0.393897217387035	-1.43447500721796	-0.129684643460243	-0.451066126559239	-1.30392224820486
3.082	"Mibdav96"	"Mibdav96|Hravoj97"	"body.form"	"R00003"	"Mibdav96"	"Hravoj97"	"F"	4.56	4.97	172	177.1	65.6	80.1	20	19	-1.1330583898345	-0.393897217387035	-1.42553808691825	-0.129684643460243	-1.13335102387573	-1.30392224820486
3.676	"jakkre91"	"jakkre91|Knaada85"	"body.form"	"R00003"	"jakkre91"	"Knaada85"	"F"	3.59	4.21	187.7	190.3	108.6	89	25	30	1.14239855279789	1.51922581718287	2.41733764195722	0.665701263213984	-0.280494902230115	0.572361219415504
3.373	"Vavit89"	"Maljan91|Vavit89"	"body.form"	"R00003"	"Maljan91"	"Vavit89"	"F"	6.06	5.49	179	177.5	83	78.9	24	26	-0.118523447259548	-0.335923792097037	0.12948604523136	-0.236927687056767	-0.451066126559239	-0.109923677900991
